# Node Results
NodeID,X,Y,Z,Ux,Uy,Uz
176,0.15763633538,0.25,0.123706766105,-2.01094471439e-08,-5.27588975488e-09,-1.47426519154e-06
177,0.767610603648,0.25,0.12724867351,8.92493094716e-08,1.23680969774e-07,-2.68942065345e-05
178,0.232323743125,0.25,0.122788654539,-9.52953827839e-08,1.8028028587e-08,-3.18821006954e-06
179,0.653065253058,0.25,0.188793784006,3.18307751146e-06,7.22739026808e-09,-2.05835764144e-05
180,0.346720756807,0.25,0.0617993217997,-2.13456025544e-06,1.87097361273e-07,-6.77673915359e-06
181,0.422533929281,0.25,0.188210301384,2.3627123468e-06,-9.53640230591e-08,-9.64922000768e-06
182,0.537362844545,0.25,0.127097372326,7.38270480922e-08,6.50995552987e-08,-1.4711469054e-05
183,0.729650097631,0.25,0.188667969266,3.37475679409e-06,6.24659849248e-08,-2.47704517615e-05
184,0.270268339722,0.25,0.0614567783407,-1.72500873295e-06,1.74014910094e-07,-4.27040407817e-06
185,0.614086930986,0.25,0.126918338838,7.54253909947e-08,9.34879848565e-08,-1.85222929564e-05
186,0.498992509234,0.25,0.18857098795,2.74909633332e-06,-4.6095659741e-08,-1.29353349378e-05
187,0.384631637758,0.25,0.125004220899,-2.88636975671e-08,4.2251249966e-08,-8.09368296784e-06
188,0.0980634001883,0.25,0.124847007211,-3.45200899126e-09,3.04947255328e-09,-6.64194716189e-07
189,0.901936599812,0.25,0.125152992789,-2.16726431481e-08,1.61966124888e-07,-3.47806479552e-05
190,0.952017218454,0.25,0.0445658966729,-4.68051473952e-06,1.866755983e-07,-3.77963898446e-05
191,0.0479827815462,0.25,0.205434103327,3.25162545878e-07,-1.71618263618e-07,-1.72253531327e-07
192,0.951662807158,0.25,0.205475322414,4.62865713118e-06,1.58095588706e-07,-3.7769655197e-05
193,0.0483371928417,0.25,0.0445246775859,-3.32233335065e-07,1.95615993279e-07,-1.66228468168e-07
194,0.805801220856,0.0613340843238,0,-6.9701508028e-06,7.72553522316e-08,-2.91966341229e-05
195,0.346124064106,0.184747732805,0,-4.07373246574e-06,1.67615052081e-07,-6.92864072607e-06
196,0.576923076923,0.0666173387526,0,-5.93983142784e-06,-3.93436218898e-09,-1.67990260626e-05
197,0.192037894825,0.0638953343436,0,-2.52164591814e-06,-2.30972429665e-07,-2.61648650688e-06
198,0.888891604913,0.185310874356,0,-7.1868456298e-06,1.70369190315e-07,-3.40478134407e-05
199,0.653846153846,0.184760816876,0,-6.41277781438e-06,1.84951245367e-07,-2.07994039022e-05
200,0.423076923077,0.0666173387526,0,-4.89512830313e-06,-1.26984396962e-07,-9.8922939487e-06
201,0.111089609429,0.185320738138,0,-1.5562567308e-06,1.19921481329e-07,-1.11889852182e-06
202,0.5,0.183382661247,0,-5.4021015203e-06,1.47063095684e-07,-1.31624467038e-05
203,0.946522881714,0.0958680130572,0,-7.22778608721e-06,1.68091166688e-07,-3.74646088598e-05
204,0.0534764440879,0.0958680130572,0,-6.91916257944e-07,-7.57103319284e-08,-4.55406651879e-07
205,0.807294867964,0.185728327381,0,-7.01848704894e-06,1.83617019559e-07,-2.92832379778e-05
206,0.191527909299,0.186464873705,0,-2.47492908332e-06,2.15979919236e-07,-2.60780639968e-06
207,0.269053108735,0.185507100901,0,-3.33941133448e-06,1.46548076694e-07,-4.46090620848e-06
208,0.307616835792,0.124314132741,0,-3.83578994612e-06,5.41731260464e-08,-5.70296456641e-06
209,0.729592847704,0.184647190877,0,-6.75898945347e-06,1.79801535888e-07,-2.48402445262e-05
210,0.689885046682,0.122700557597,0,-6.57548463316e-06,1.00418471902e-07,-2.26950299456e-05
211,0.5,0.0666173387526,0,-5.40910907444e-06,-3.15554756186e-08,-1.31640494822e-05
212,0.423075630992,0.184157161472,0,-4.8895524252e-06,1.84098925162e-07,-9.89768073158e-06
213,0.576923076923,0.184157729973,0,-6.02553901156e-06,1.72549212393e-07,-1.67990395024e-05
214,0.888714231,0.0642553748722,0,-7.1526433274e-06,1.38634795489e-07,-3.40278322401e-05
215,0.110975344682,0.0646212268308,0,-1.48113519241e-06,-1.80328196179e-07,-1.07028717982e-06
216,0.948117564279,0.154359642279,0,-7.26233889556e-06,1.77090753693e-07,-3.75612890758e-05
217,0.0518785182133,0.154361286243,0,-8.2826144852e-07,3.00598229319e-08,-4.90538332789e-07
218,0.84236366462,0.123706766105,0,-7.097355552e-06,1.41887080449e-07,-3.13120736951e-05
219,0.155876462631,0.125062700047,0,-1.96393531511e-06,-9.36493698567e-09,-1.87705020088e-06
220,0.767610603648,0.12275132649,0,-6.88023658004e-06,1.28961762447e-07,-2.70052660752e-05
221,0.653435170124,0.0621210737429,0,-6.42836936769e-06,-2.8416835431e-10,-2.07286373274e-05
222,0.350784359299,0.0628641459809,0,-4.22567102404e-06,-1.18712619519e-07,-7.08527602982e-06
223,0.26990714059,0.0626912733883,0,-3.33331693847e-06,-1.61389393491e-07,-4.46202330574e-06
